1,sepia,600x600,0.00343
1,blur,600x600,0.25054
1,swirl,600x600,0.03550
1,sepia,600x600,0.00435
1,blur,600x600,0.30744
1,swirl,600x600,0.04755
1,sepia,600x600,0.00239
1,blur,600x600,0.26568
1,swirl,600x600,0.03210
2,sepia,600x600,0.00141
2,blur,600x600,0.13206
2,swirl,600x600,0.02228
2,sepia,600x600,0.00125
2,blur,600x600,0.11849
2,swirl,600x600,0.01592
2,sepia,600x600,0.00124
2,blur,600x600,0.13692
2,swirl,600x600,0.01593
4,sepia,600x600,0.00136
4,blur,600x600,0.10141
4,swirl,600x600,0.01108
4,sepia,600x600,0.00111
4,blur,600x600,0.10262
4,swirl,600x600,0.01137
4,sepia,600x600,0.00111
4,blur,600x600,0.10146
4,swirl,600x600,0.01082
8,sepia,600x600,0.00149
8,blur,600x600,0.10567
8,swirl,600x600,0.01112
8,sepia,600x600,0.00174
8,blur,600x600,0.10554
8,swirl,600x600,0.01141
8,sepia,600x600,0.00122
8,blur,600x600,0.10540
8,swirl,600x600,0.01180
